[I 241203 04:43:03 smartapi:165] on open
[I 241203 04:43:36 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3973078, 'exchange_timestamp': 1733201016000, 'last_traded_price': 2434530, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:36 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3973572, 'exchange_timestamp': 1733201016000, 'last_traded_price': 2434425, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:37 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3973915, 'exchange_timestamp': 1733201017000, 'last_traded_price': 2434430, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:37 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3974403, 'exchange_timestamp': 1733201017000, 'last_traded_price': 2434485, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:38 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3974765, 'exchange_timestamp': 1733201018000, 'last_traded_price': 2434420, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:38 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3975230, 'exchange_timestamp': 1733201018000, 'last_traded_price': 2434415, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:39 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3975522, 'exchange_timestamp': 1733201019000, 'last_traded_price': 2434395, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:39 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3975974, 'exchange_timestamp': 1733201019000, 'last_traded_price': 2434470, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:40 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3976338, 'exchange_timestamp': 1733201020000, 'last_traded_price': 2434445, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:40 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3976875, 'exchange_timestamp': 1733201020000, 'last_traded_price': 2434425, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:41 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3977215, 'exchange_timestamp': 1733201021000, 'last_traded_price': 2434455, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:41 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3977680, 'exchange_timestamp': 1733201021000, 'last_traded_price': 2434470, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:42 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3977987, 'exchange_timestamp': 1733201022000, 'last_traded_price': 2434405, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:42 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3978469, 'exchange_timestamp': 1733201022000, 'last_traded_price': 2434420, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:43 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3978815, 'exchange_timestamp': 1733201023000, 'last_traded_price': 2434425, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:44 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3979585, 'exchange_timestamp': 1733201024000, 'last_traded_price': 2434445, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:44 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3980043, 'exchange_timestamp': 1733201024000, 'last_traded_price': 2434395, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:45 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3980342, 'exchange_timestamp': 1733201025000, 'last_traded_price': 2434435, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:45 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3980858, 'exchange_timestamp': 1733201025000, 'last_traded_price': 2434320, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:46 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3981209, 'exchange_timestamp': 1733201026000, 'last_traded_price': 2434275, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:46 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3981683, 'exchange_timestamp': 1733201026000, 'last_traded_price': 2434330, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:47 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3982020, 'exchange_timestamp': 1733201027000, 'last_traded_price': 2434375, 'subscription_mode_val': 'LTP'}
